Target_genes	CREBBP|Average	SRX359408|293	SRX359409|293	SRX359410|293	SRX359411|293	SRX660077|Adipose-Derived_Mesenchymal_Stem_Cells	SRX660078|Adipose-Derived_Mesenchymal_Stem_Cells	SRX2339191|B-Lymphocytes	SRX2339193|B-Lymphocytes	SRX017698|CD4-Positive_T-Lymphocytes	SRX100258|H3396	SRX100259|H3396	SRX100261|H3396	SRX100262|H3396	SRX100263|H3396	SRX100264|H3396	SRX3324957|IMR-90	SRX3324958|IMR-90	SRX3324959|IMR-90	SRX3324960|IMR-90	SRX015827|Jurkat_(Clone_E6-1)	SRX116429|K-562	SRX186770|K-562	SRX7214024|Keratinocytes	SRX7214025|Keratinocytes	SRX7214026|Keratinocytes	SRX7214027|Keratinocytes	SRX159188|LS-180	SRX159189|LS-180	SRX5839976|Macrophages	SRX5839977|Macrophages	SRX5839978|Macrophages	SRX5839979|Macrophages	SRX5162246|Placenta	SRX5162247|Placenta	SRX5162248|Placenta	SRX018277|T98G	SRX018280|T98G	SRX018281|T98G	STRING
TUBA4B	20.289474	0	0	0	0	0	0	261	510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUBA4A	20.289474	0	0	0	0	0	0	261	510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LFNG	20.289474	0	0	0	0	0	0	355	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0
LARP1B	20.289474	237	249	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXP1	20.289474	151	184	0	0	0	0	174	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BIRC5	20.289474	306	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANP32B	20.289474	259	277	119	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRNAU1AP	20.263158	237	234	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM69	20.263158	0	289	0	0	0	0	126	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	177	72	0	0	0	0	0	0	0	0	0
ST14	20.263158	0	0	0	0	0	0	204	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0
SHPRH	20.263158	262	265	83	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RHOBTB1	20.263158	228	438	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRRC1	20.263158	252	363	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM11	20.263158	126	225	0	0	0	0	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIAS3	20.263158	245	302	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYH10	20.263158	219	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KPNA6	20.263158	218	195	74	0	0	0	0	118	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FANCF	20.263158	160	180	98	0	0	0	151	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YIF1A	20.236842	113	154	0	0	0	0	264	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VEZT	20.236842	140	186	0	0	0	0	145	196	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UQCC3	20.236842	162	207	99	0	0	0	114	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP140	20.236842	0	0	0	0	0	0	406	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0
RBL2	20.236842	177	445	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIK3R4	20.236842	174	267	0	0	0	0	0	131	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LBHD1	20.236842	162	207	99	0	0	0	114	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KATNAL1	20.236842	167	261	0	0	0	0	121	150	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGD6	20.236842	140	186	0	0	0	0	145	196	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM98A	20.236842	203	251	195	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EDEM1	20.236842	275	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTPS2	20.236842	237	254	103	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFX	20.210526	305	463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM47	20.210526	0	190	0	0	0	0	154	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0
MBD2	20.210526	143	193	0	0	0	0	0	104	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0
IKZF1	20.210526	110	172	0	0	0	0	227	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CREB3L2	20.210526	156	162	118	0	0	0	145	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBWD1	20.210526	190	216	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARID1B	20.210526	221	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEX9	20.184211	153	172	0	0	0	0	145	191	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SKIDA1	20.184211	241	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM3	20.184211	165	227	95	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELAC2	20.184211	182	161	0	0	0	0	94	183	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIFM1	20.184211	92	224	0	0	0	0	206	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NGDN	20.157895	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	305	119	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KDM4D	20.157895	194	172	85	0	0	0	0	0	85	0	0	0	0	0	0	0	144	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JTB	20.157895	315	358	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLTP	20.157895	158	248	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DHRS4L2	20.157895	0	81	0	0	0	0	101	234	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CWC15	20.157895	194	172	85	0	0	0	0	0	85	0	0	0	0	0	0	0	144	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLIP1	20.157895	196	217	0	0	0	0	204	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTBD8	20.157895	215	239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATXN3	20.157895	152	309	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAMP	20.157895	155	123	0	0	0	0	0	0	98	0	0	0	0	0	0	0	283	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STK35	20.131579	212	197	155	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCKAP5L	20.131579	134	224	0	0	0	0	105	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC1R	20.131579	0	0	0	0	0	0	178	223	0	0	0	0	0	0	0	0	0	0	0	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GDPD3	20.131579	144	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	218	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF653	20.105263	149	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2K	20.105263	247	222	205	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUCLG2	20.105263	221	235	85	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PFDN2	20.105263	170	172	134	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PALD1	20.105263	145	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NIT1	20.105263	170	172	134	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMHB1	20.105263	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIPK1	20.105263	325	286	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELAC1	20.105263	457	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMC2	20.078947	159	147	158	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC37A3	20.078947	353	313	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM17	20.078947	279	338	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTPN13	20.078947	295	342	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HYKK	20.078947	205	373	99	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLASP2	20.078947	242	215	0	0	0	0	125	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK4	20.078947	231	231	0	0	135	0	0	0	93	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf49	20.078947	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	123	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0
BST1	20.078947	150	139	0	0	0	0	171	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF39	20.078947	147	121	0	0	0	0	176	171	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGAP15	20.078947	0	0	0	0	0	0	253	231	0	0	0	0	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARSD1	20.078947	0	0	169	0	0	0	168	136	0	0	0	0	0	0	0	0	138	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM175	20.052632	150	278	113	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM2	20.052632	233	356	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ICA1L	20.052632	281	326	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGC6.3	20.052632	322	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAK	20.052632	150	278	113	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF17	20.052632	109	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0
ARF1	20.052632	244	255	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPF3B	20.026316	185	163	0	0	0	0	164	134	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDE8A	20.026316	186	224	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PBX3	20.026316	103	119	0	0	0	0	162	255	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OAZ1	20.026316	167	184	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	96	0	0	0	0	0	0	0	0	0
OASL	20.026316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	115	168	0	0	0	0	0	0	0	0
MTBP	20.026316	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	72	273	0	108	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPL13	20.026316	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	72	273	0	108	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LIN54	20.026316	269	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LHFPL6	20.026316	94	206	0	0	0	0	187	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ICAM3	20.026316	0	0	0	0	0	0	166	391	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3GNT5	20.026316	190	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF268	20.000000	119	0	0	0	0	0	0	0	287	0	0	0	0	0	0	0	237	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRMT10C	20.000000	149	133	177	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC1A4	20.000000	151	208	0	0	0	0	100	166	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SIX5	20.000000	0	119	0	0	0	0	0	0	146	0	0	0	0	0	0	0	213	0	83	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0
SH3YL1	20.000000	193	194	218	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTS	20.000000	137	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	90	0	73	0	0	0	136	0	0	0	0	0	0	0	0	0
PIN1	20.000000	212	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PACS1	20.000000	240	208	0	0	0	0	95	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM131A	20.000000	280	382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASB2	20.000000	0	0	0	0	0	0	414	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACP1	20.000000	193	194	218	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTHFSD	19.973684	177	361	114	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP2U1	19.973684	136	154	0	0	0	0	146	97	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDO1	19.973684	343	282	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBCEL	19.947368	283	386	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNAPC1	19.947368	123	186	161	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPT2	19.947368	169	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	117	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0
ELK1	19.947368	238	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHCHD6	19.947368	148	239	0	0	0	0	0	0	0	0	0	0	0	0	0	92	142	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C17orf58	19.947368	359	399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASAH2B	19.947368	244	171	0	0	0	0	121	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZYG11A	19.921053	318	282	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF621	19.921053	309	376	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF461	19.921053	0	111	0	0	0	0	172	474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDGFD	19.921053	0	141	0	0	0	0	316	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUP50	19.921053	236	335	71	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDST2	19.921053	302	455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAA25	19.921053	231	309	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LEMD2	19.921053	251	338	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLYWCH2	19.921053	199	215	174	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM89A	19.921053	223	460	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPH7	19.921053	242	320	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BBS10	19.921053	131	125	0	0	0	0	192	213	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL6	19.921053	169	185	179	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF805	19.894737	142	211	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0	95	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMUB2	19.894737	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	106	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	328	0
TGFBRAP1	19.894737	261	405	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC25A15	19.894737	149	201	0	0	0	0	170	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTUB1	19.894737	231	200	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MERTK	19.894737	377	290	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRBA2	19.894737	270	401	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLHDC1	19.894737	292	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPLL	19.894737	248	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0
GLO1	19.894737	219	401	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAR1	19.894737	0	0	0	0	0	0	155	233	146	0	0	0	0	0	0	0	0	0	0	118	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FICD	19.894737	123	128	0	0	0	0	195	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DACT2	19.894737	162	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	151	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0
ISOC1	19.868421	335	346	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FANK1	19.868421	291	339	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DISC1	19.868421	305	393	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRISPLD1	19.868421	259	252	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0
CNP	19.868421	280	150	0	0	0	0	0	113	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CALU	19.868421	246	299	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMI1	19.868421	246	342	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAIAP2L1	19.868421	290	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF710	19.842105	168	134	0	0	0	0	252	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
